CloneID	Chromosome	Start	End	Case1.Ref	Case1.Test	Case2.Ref	Case2.Test	Case3.Ref	Case3.Test
RP11-34P13	1	1	254479	279	294	NA	NA	541	390
RP11-379K15	1	95421	244136	1815	2269	2793	3996	1529	1167
RP11-776O18	1	357737	465038	387	349	429	362	696	340
RP11-45C18	1	579118	696613	786	734	900	735	NA	NA
RP11-242B5	1	606617	711982	2955	4158	4478	5229	927	723
RP13-586C17	1	619355	783174	NA	NA	823	841	664	447
RP11-414L23	1	658751	846904	630	937	959	744	1052	691
RP11-206L10	1	672813	852341	2149	3047	6524	8206	6592	6634
RP11-13F13	1	786572	916234	242	237	NA	NA	NA	NA
CTD-2200D4	1	823522	982484	893	1160	697	859	NA	NA
CTD-2561F13	1	1101602	1341360	NA	NA	152	161	NA	NA
RP13-548M18	1	1546041	1585512	425	552	NA	NA	487	320
RP11-730K14	1	1664960	1844239	NA	NA	349	376	606	316
RP11-1113I16	1	1674660	1822839	96	109	NA	NA	215	128
RP11-798H13	1	1777072	1965567	96	97	176	147	NA	NA
RP11-722H19	1	1924205	2120036	NA	NA	NA	NA	NA	NA
RP11-547D24	1	1938766	2053516	77	78	118	110	NA	NA
RP11-457C2	1	2010680	2179451	522	609	692	798	1419	1431
RP11-471D4	1	2074535	2235860	155	164	182	197	NA	NA
RP11-181G12	1	2081232	2274705	221	193	310	303	555	331
RP11-83K22	1	2187928	2356539	86	71	NA	NA	NA	NA
CTD-2554A16	1	2308457	2545197	110	112	182	202	129	52
RP11-740P5	1	2720081	2828912	740	1016	844	1190	721	653
RP11-809B17	1	2865914	3034294	265	310	378	397	672	422
RP11-333E3	1	2885694	3045749	239	274	338	434	433	450
RP11-427H21	1	2946306	3034294	1575	1831	1732	2007	1851	1396
RP11-335G22	1	3149962	3307570	70	78	101	108	NA	NA
RP11-730M7	1	3175749	3356973	271	319	385	413	672	507
RP11-736G9	1	3241103	3406530	450	430	671	672	1028	614
RP11-168F9	1	3312095	3488186	NA	NA	NA	NA	NA	NA
RP11-151F10	1	3386095	3547473	80	79	121	96	NA	NA
RP11-631K6	1	3600497	3743996	230	258	347	312	NA	NA
RP11-380E2	1	3680610	3826505	135	149	160	149	270	191
RP13-497J3	1	3683499	3844824	NA	NA	60	68	NA	NA
RP11-718D19	1	3927454	4121175	682	800	781	956	2269	1684
RP11-727K9	1	4009569	4220993	424	562	551	787	658	442
CTD-2025I16	1	4116947	4262249	NA	NA	321	318	387	204
RP11-118P10	1	4150383	4295554	570	548	559	697	1157	758
RP11-447M5	1	4181529	4357953	85	93	NA	NA	NA	NA
RP11-312L8	1	4187680	4357953	278	322	394	467	NA	NA
RP11-168B8	1	4230981	4406340	1490	1733	1196	1581	2549	2072
RP11-738K22	1	4233971	4446587	923	1275	NA	NA	2223	1729
RP11-818B16	1	4357954	4579734	2386	3016	2850	4220	3247	2878
RP11-467K11	1	4629892	4792852	462	466	634	717	NA	NA
RP11-236D20	1	4664379	4831219	562	678	604	781	685	494
RP11-493P12	1	4705759	4891672	1436	2220	1382	2187	1028	834
RP11-58I24	1	4732638	4908624	661	574	907	945	1762	1142
RP11-135B10	1	4934916	5111980	1037	1695	1477	1536	2384	2175
CTD-2028L18	1	4961498	5106532	611	828	658	1029	788	678
RP11-808E8	1	5098863	5300746	697	823	836	1074	1057	732
RP11-792G14	1	5117967	5142732	NA	NA	NA	NA	NA	NA
RP11-777F23	1	5130884	5300746	282	267	280	383	547	363
RP11-245D8	1	5135454	5302459	191	218	NA	NA	313	189
CTD-2338G21	1	5244355	5336898	113	134	NA	NA	NA	NA
RP11-230F23	1	5427634	5578010	975	1463	1390	1805	1599	1250
RP11-154H17	1	5520278	5683480	1292	1002	1458	1534	2954	1560
RP11-796A7	1	5600955	5787157	908	1095	1224	1526	1520	1191
RP11-301K13	1	5725374	5934165	428	429	581	587	1290	696
RP11-33M12	1	5824356	5962228	487	498	701	879	888	614
RP11-618E8	1	5883735	6057323	NA	NA	163	149	285	130
RP11-668O13	1	6051168	6155082	NA	NA	NA	NA	293	140
RP11-815E1	1	6057324	6192074	598	708	941	997	992	699
RP11-715N23	1	6123617	6258744	314	340	NA	NA	338	252
RP11-58A11	1	6423652	6599669	171	209	216	260	334	201
RP11-719E21	1	6520135	6581856	NA	NA	224	222	228	175
RP11-36K18	1	6569562	6755591	NA	NA	NA	NA	NA	NA
RP11-593O14	1	6699167	6886037	374	402	503	762	561	419
RP11-312B8	1	6773031	6990031	938	967	1113	1271	1156	672
RP11-334N17	1	6857208	7033633	255	281	266	351	370	200
RP11-492B24	1	6971973	7213461	1024	1411	888	1360	1514	1255
RP11-185M23	1	7099278	7286982	NA	NA	175	253	231	108
RP11-600H17	1	7239204	7339661	382	375	NA	NA	811	485
RP11-63P6	1	7366403	7472850	613	712	1116	1422	1182	954
RP11-765A6	1	7425623	7605939	1036	1017	1297	1741	1275	1290
RP11-92O17	1	7549891	7758774	639	694	656	749	807	529
RP11-442P22	1	7587010	7741387	2401	3727	2415	3392	1519	1418
RP11-780N18	1	7639330	7767538	697	965	587	770	974	710
RP11-620C9	1	7758775	7939077	NA	NA	307	417	NA	NA
RP11-767K22	1	7875038	8060023	727	949	831	1282	1192	958
RP11-478I22	1	7970681	8159957	617	945	735	1146	1017	854
RP11-65A16	1	8137673	8288423	489	551	654	711	900	570
RP11-126I6	1	8258420	8459004	292	439	437	642	469	409
RP11-327P18	1	8380422	8573597	842	1234	930	1491	1382	1254
RP11-238I19	1	8483340	8674020	440	459	529	627	819	457
RP11-792B5	1	8633705	8824887	352	415	464	532	750	473
RP11-651I10	1	8693208	8893046	205	344	231	315	NA	NA
CTD-2135G4	1	8761995	8869044	NA	NA	NA	NA	NA	NA
RP11-811K4	1	8869045	9069381	700	969	657	919	NA	NA
RP11-175M7	1	9016291	9181833	92	102	142	157	249	122
RP11-315O13	1	9025983	9181833	297	399	437	554	509	384
RP11-371H14	1	9120834	9298868	163	187	NA	NA	NA	NA
RP11-476D13	1	9214979	9384930	295	255	256	398	NA	NA
RP11-813J5	1	9660898	9794475	153	149	172	196	326	168
CTD-2180D18	1	9665879	9899090	130	135	NA	NA	NA	NA
CTD-2333B22	1	9771970	9887749	NA	NA	232	246	387	236
RP11-84A14	1	9791315	9977126	NA	NA	NA	NA	NA	NA
RP11-807G9	1	9821722	10000530	198	254	NA	NA	513	336
RP11-627J24	1	9842317	10000530	320	431	379	519	905	718
RP11-428A21	1	10041800	10215415	429	533	489	652	632	469
RP11-468C3	1	10149747	10340105	221	197	253	290	703	451
RP11-473K14	1	10311615	10494132	344	480	494	635	704	568
RP11-740P20	1	10515258	10678646	1222	2038	2110	2648	1594	1373
RP11-772D16	1	10639077	10794185	338	357	485	562	503	279
RP11-27K11	1	10838111	11057241	591	530	770	827	1050	644
RP11-829B14	1	10976097	11169684	211	237	NA	NA	734	582
RP11-663A20	1	11047387	11183731	479	664	NA	NA	796	710
RP11-594M7	1	11124777	11293605	143	191	166	199	289	174
RP11-801C23	1	11146757	11391907	675	866	911	1232	1269	977
RP11-563B4	1	11207081	11371835	1108	1367	1692	2005	3049	2560
RP11-95P22	1	11323043	11496607	375	426	NA	NA	595	427
RP11-720E9	1	11368939	11546543	NA	NA	NA	NA	514	326
RP11-610P4	1	11447655	11621599	308	364	587	608	526	310
CTD-2330M11	1	11496613	11603862	141	128	234	208	NA	NA
